ProductName,CategoryName,SubCategoryName,Vendor,CatalogNumber,Location
Dulbecco's Phosphate Buffered Saline (DPBS) Without  Calcium and Magnesium,Reagents And Chemicals,Solutions,Biological Industries,02-023-1A,
Dulbecco's Phosphate Buffered Saline (DPBS) Without  Calcium and Magnesium,Reagents And Chemicals,Solutions,Biological Industries,02-023-1A,
Dulbecco's Phosphate Buffered Saline (DPBS) Without  Calcium and Magnesium,Reagents And Chemicals,Solutions,Biological Industries,02-023-1A,DSL4 Bench
Dulbecco's Phosphate Buffered Saline (DPBS) Without  Calcium and Magnesium,Reagents And Chemicals,Solutions,Biological Industries,02-023-1A,
Dulbecco's Phosphate Buffered Saline (DPBS) Without  Calcium and Magnesium,Reagents And Chemicals,Solutions,Biological Industries,02-023-1A,
Dulbecco's Phosphate Buffered Saline (DPBS) Without  Calcium and Magnesium,Reagents And Chemicals,Solutions,Biological Industries,02-023-1A,
RNase ExitusPlus,Reagents And Chemicals,Solutions,Biological Industries,01-897-1B,
RNase ExitusPlus,Reagents And Chemicals,Solutions,Biological Industries,01-897-1B,
RNase ExitusPlus,Reagents And Chemicals,Solutions,Biological Industries,01-897-1B,
RNase ExitusPlus,Reagents And Chemicals,Solutions,Biological Industries,01-897-1B,
RNase ExitusPlus,Reagents And Chemicals,Solutions,Biological Industries,01-897-1B,
RNase ExitusPlus,Reagents And Chemicals,Solutions,Biological Industries,01-897-1B,
"Pharmacidal, spray can for disinfecting surfaces",Reagents And Chemicals,Solutions,Biological Industries,IC-110100-G,
"Pharmacidal, spray can for disinfecting surfaces",Reagents And Chemicals,Solutions,Biological Industries,IC-110100-G,
"Pharmacidal, spray can for disinfecting surfaces",Reagents And Chemicals,Solutions,Biological Industries,IC-110100-G,
"Pharmacidal, spray can for disinfecting surfaces",Reagents And Chemicals,Solutions,Biological Industries,IC-110100-G,
"Pharmacidal, spray can for disinfecting surfaces",Reagents And Chemicals,Solutions,Biological Industries,IC-110100-G,
"50ml AQUAGUARD-2 Solution, for disinfecting ordinary water  baths,*use at 2ml per liter 50ml",Reagents And Chemicals,Solutions,Biological Industries,01-916-1E,
"50ml AQUAGUARD-2 Solution, for disinfecting ordinary water  baths,*use at 2ml per liter 50ml",Reagents And Chemicals,Solutions,Biological Industries,01-916-1E,
"50ml AQUAGUARD-2 Solution, for disinfecting ordinary water  baths,*use at 2ml per liter 50ml",Reagents And Chemicals,Solutions,Biological Industries,01-916-1E,EQ6
"50ml AQUAGUARD-2 Solution, for disinfecting ordinary water  baths,*use at 2ml per liter 50ml",Reagents And Chemicals,Solutions,Biological Industries,01-916-1E,EQ278
"50ml AQUAGUARD-2 Solution, for disinfecting ordinary water  baths,*use at 2ml per liter 50ml",Reagents And Chemicals,Solutions,Biological Industries,01-916-1E,
"50ml AQUAGUARD-2 Solution, for disinfecting ordinary water  baths,*use at 2ml per liter 50ml",Reagents And Chemicals,Solutions,Biological Industries,01-916-1E,
"50ml AQUAGUARD-2 Solution, for disinfecting ordinary water  baths,*use at 2ml per liter 50ml",Reagents And Chemicals,Solutions,Biological Industries,01-916-1E,
AQUAGUARD - 1 For water disinfection in humidified   CO2 incubators*Use 10ml/lt water,Reagents And Chemicals,Solutions,Biological Industries,01-867-1B,
AQUAGUARD - 1 For water disinfection in humidified   CO2 incubators*Use 10ml/lt water,Reagents And Chemicals,Solutions,Biological Industries,01-867-1B,
AQUAGUARD - 1 For water disinfection in humidified   CO2 incubators*Use 10ml/lt water,Reagents And Chemicals,Solutions,Biological Industries,01-867-1B,
AQUAGUARD - 1 For water disinfection in humidified   CO2 incubators*Use 10ml/lt water,Reagents And Chemicals,Solutions,Biological Industries,01-867-1B,EQ278
AQUAGUARD - 1 For water disinfection in humidified   CO2 incubators*Use 10ml/lt water,Reagents And Chemicals,Solutions,Biological Industries,01-867-1B,
AQUAGUARD - 1 For water disinfection in humidified   CO2 incubators*Use 10ml/lt water,Reagents And Chemicals,Solutions,Biological Industries,01-867-1B,
AQUAGUARD - 1 For water disinfection in humidified   CO2 incubators*Use 10ml/lt water,Reagents And Chemicals,Solutions,Biological Industries,01-867-1B,EQ5
MEM EAGLE*Non-essential amino acids solution*Concentrate X 100,Reagents And Chemicals,Solutions,Biological Industries,01-340-1B,EQ15
MEM EAGLE*Non-essential amino acids solution*Concentrate X 100,Reagents And Chemicals,Solutions,Biological Industries,01-340-1B,
MEM EAGLE*Non-essential amino acids solution*Concentrate X 100,Reagents And Chemicals,Solutions,Biological Industries,01-340-1B,
Molecular Biology Grade Water (DNase RNase-free),Reagents And Chemicals,Solutions,Biological Industries,01-869-1A,
Molecular Biology Grade Water (DNase RNase-free),Reagents And Chemicals,Solutions,Biological Industries,01-869-1A,
Molecular Biology Grade Water (DNase RNase-free),Reagents And Chemicals,Solutions,Biological Industries,01-869-1A,
"Pharmacidal, spray can for disinfecting surfaces",Reagents And Chemicals,Solutions,Biological Industries,IC-110100,
"Pharmacidal, spray can for disinfecting surfaces",Reagents And Chemicals,Solutions,Biological Industries,IC-110100,
Trypsin Solution B (0.25%) In DPBS*Without Calcium and Magnesium*Without Phenol Red,Reagents And Chemicals,Solutions,Biological Industries,03-046-1B,
RPMI-1640 Medium,Reagents And Chemicals,Solutions,Biological Industries,30-2001,
Cell Dissociation Solution - Non Enzymatic*Animal Component Free,Reagents And Chemicals,Solutions,Biological Industries,03-071-1B,
L-Alanyl-L-Glutamine*Stable Dipeptide Substitute fo  L-Glutamine 200 mM,Reagents And Chemicals,Solutions,Biological Industries,03-022-1B,
TAE Electrophoresis Buffer (x50),Reagents And Chemicals,Solutions,Biological Industries,01-870-1A,
TE Buffer 1X Molecular grade,Reagents And Chemicals,Solutions,Biological Industries,V6232,
ProNex(R) Size-Selective Purification System,Reagents And Chemicals,General Reagents and Chemicals,Biological Industries,NG2001,DSL3G1
Adenosine 5'-Triphosphate (ATP),Reagents And Chemicals,Solutions,ORNAT BIOCHEMICALS,NEB-P0756S,EQ5
Adenosine 5'-Triphosphate (ATP),Reagents And Chemicals,Solutions,ORNAT BIOCHEMICALS,NEB-P0756S,EQ5
"LongAmp Taq 2X Master Mix ",Reagents And Chemicals,Solutions,ORNAT BIOCHEMICALS,NEB-M0287S,
BUFFER PH 10.00 250 ml,Reagents And Chemicals,General Reagents and Chemicals,Agentek," 51350038 ",
BUFFER pH 7.00,Reagents And Chemicals,Solutions,Agentek,51350034,
BUFFER pH 7.00,Reagents And Chemicals,Solutions,Agentek,51350034,
BUFFER pH 4.01,Reagents And Chemicals,Solutions,Agentek,51350032,
BUFFER pH 4.01,Reagents And Chemicals,Solutions,Agentek,51350032,
"CONDUCTIVITY STANDARD 12.88 mS/cm, 250ml",Reagents And Chemicals,Solutions,Agentek,51350094,DSL3G1
"CONDUCTIVITY STANDARD 12.88 mS/cm, 250ml",Reagents And Chemicals,Solutions,Agentek,51350094,
"Collagen I, Rat Tail (Santa Cruz)",Reagents And Chemicals,Solutions,Almog diagnostics,sc-136157,
"Collagen I, Rat Tail (Santa Cruz)",Reagents And Chemicals,Solutions,Almog diagnostics,sc-136157,EQ15
"FORMALDEHYDE 16% SOL. EM GRADE,100ml",Reagents And Chemicals,General Reagents and Chemicals,Bar Naor,BN15710,L1G10
"FORMALDEHYDE 16% SOL. EM GRADE,100ml",Reagents And Chemicals,General Reagents and Chemicals,Bar Naor,BN15710,L1G10
WATER ULTRAPURE 100ML-HDPE,Reagents And Chemicals,Solutions,Bio Lab,2321773100,
WATER ULTRAPURE 100ML-HDPE,Reagents And Chemicals,Solutions,Bio Lab,2321773100,
WATER ULTRAPURE 100ML-HDPE,Reagents And Chemicals,Solutions,Bio Lab,2321773100,
TAE BUFFER 50X MB 500ML-P,Reagents And Chemicals,Solutions,Bio Lab,2050237500,
Tris-HCl 1M buffer pH 7.5 Molecular biology,Reagents And Chemicals,Solutions,Bio Lab,208223,
Tris-HCl 1M buffer pH 7.5 Molecular biology,Reagents And Chemicals,Solutions,Bio Lab,208223,
ETHANOL ABS. MB,Reagents And Chemicals,Solutions,Bio Lab,525230100,
ETHANOL ABS. MB,Reagents And Chemicals,Solutions,Bio Lab,525230100,
ETHANOL ABS. HPLC,Reagents And Chemicals,Solutions,Bio Lab,525060100,
TRIS HCL 1M PH 7.5 1 L -P,Reagents And Chemicals,Solutions,Bio Lab,2083232300,L1C3
TRIS HCL 1M PH 7.5 1 L -P,Reagents And Chemicals,Solutions,Bio Lab,2083232300,
TRIS HCL 1M PH 7.5 1 L -P,Reagents And Chemicals,Solutions,Bio Lab,2083232300,L1C3
TRIS HCL 1M PH 7.5 1 L -P,Reagents And Chemicals,Solutions,Bio Lab,2083232300,
Water Ultrapure,Reagents And Chemicals,Solutions,Bio Lab,002321777500HDPE,
Water Ultrapure,Reagents And Chemicals,Solutions,Bio Lab,002321777500HDPE,
Water Ultrapure,Reagents And Chemicals,Solutions,Bio Lab,002321777500HDPE,
Water UltraPure DNase/RNase-Free 500 ML,Reagents And Chemicals,Solutions,Bio Lab,002321777500,DSL3C1
Water UltraPure DNase/RNase-Free 500 ML,Reagents And Chemicals,Solutions,Bio Lab,002321777500,
Water UltraPure DNase/RNase-Free 500 ML,Reagents And Chemicals,Solutions,Bio Lab,002321777500,
Water UltraPure DNase/RNase-Free 500 ML,Reagents And Chemicals,Solutions,Bio Lab,002321777500,DSL4 Bench
SSC Buffer 20X for molecular biology 1 L,Reagents And Chemicals,Solutions,Bio Lab,1985232300,
SSC Buffer 20X for molecular biology 1 L,Reagents And Chemicals,Solutions,Bio Lab,1985232300,
SSC Buffer 20X for molecular biology 1 L,Reagents And Chemicals,Solutions,Bio Lab,1985232300,
SSC Buffer 20X for molecular biology 1 L,Reagents And Chemicals,Solutions,Bio Lab,1985232300,
SSC Buffer 20X for molecular biology 1 L,Reagents And Chemicals,Solutions,Bio Lab,1985232300,
TAE Buffer 50X for molecular biology 1 L,Reagents And Chemicals,Solutions,Bio Lab,2050232300,
TAE Buffer 50X for molecular biology 1 L,Reagents And Chemicals,Solutions,Bio Lab,2050232300,DSL3G1
TAE Buffer 50X for molecular biology 1 L,Reagents And Chemicals,Solutions,Bio Lab,2050232300,
TAE Buffer 50X for molecular biology 1 L,Reagents And Chemicals,Solutions,Bio Lab,2050232300,
TAE Buffer 50X for molecular biology 1 L,Reagents And Chemicals,Solutions,Bio Lab,2050232300,L1C3
"4x Laemmli Sample Buffer, 1610747",Reagents And Chemicals,General Reagents and Chemicals,Bio Rad israel,1610747,
"4x Laemmli Sample Buffer, 1610747",Reagents And Chemicals,General Reagents and Chemicals,Bio Rad israel,1610747,
"4x Laemmli Sample Buffer, 1610747",Reagents And Chemicals,General Reagents and Chemicals,Bio Rad israel,1610747,DSL4 Bench
"4x Laemmli Sample Buffer, 1610747",Reagents And Chemicals,General Reagents and Chemicals,Bio Rad israel,1610747,
"Quick Start Bradford Protein Assay Kit 1, 5000201",Reagents And Chemicals,Solutions,Bio Rad israel,5000201,
"2-Mercaptoethanol, 1610710",Reagents And Chemicals,Solutions,Bio Rad israel,1610710,
"2-Mercaptoethanol, 1610710",Reagents And Chemicals,Solutions,Bio Rad israel,1610710,DSL4 Bench
"10x Tris/Glycine/SDS, 1 L",Reagents And Chemicals,Solutions,Bio Rad israel,1610732,
"10x Tris/Glycine/SDS, 1 L",Reagents And Chemicals,Solutions,Bio Rad israel,1610732,
Ethanol absolute for analysis EMSURE,Reagents And Chemicals,Solutions,Mercury,1009832500,
"2-Propanol for analysis EMSURE® ACS,ISO,Reag. Ph Eur",Reagents And Chemicals,Solutions,Mercury,1096342500,
"2-Propanol for analysis EMSURE® ACS,ISO,Reag. Ph Eur",Reagents And Chemicals,Solutions,Mercury,1096342500,
2-Propanol EMPLURA,Reagents And Chemicals,General Reagents and Chemicals,Mercury,8187662500,
"Glycerol (vegetable origin) for analysis EMSURE® ACS, Reag. Ph Eur",Reagents And Chemicals,Solutions,Mercury,1040572511,
Genomic DNA Reagents,Reagents And Chemicals,General Reagents and Chemicals,Eldan electronics,5067-5366,
Genomic DNA Reagents,Reagents And Chemicals,General Reagents and Chemicals,Eldan electronics,5067-5366,
Genomic DNA Reagents,Reagents And Chemicals,General Reagents and Chemicals,Eldan electronics,5067-5366,
Genomic DNA Reagents,Reagents And Chemicals,General Reagents and Chemicals,Eldan electronics,5067-5366,
Genomic DNA Reagents,Reagents And Chemicals,General Reagents and Chemicals,Eldan electronics,5067-5366,
Genomic DNA Reagents,Reagents And Chemicals,General Reagents and Chemicals,Eldan electronics,5067-5366,
Genomic DNA Reagents,Reagents And Chemicals,General Reagents and Chemicals,Eldan electronics,5067-5366,
BOVINE SERUM ALBUMIN 30% Solution,Reagents And Chemicals,Solutions,Enco scientific services,BSA-30-0050,
BOVINE SERUM ALBUMIN 30% Solution,Reagents And Chemicals,Solutions,Enco scientific services,BSA-30-0050,
BOVINE SERUM ALBUMIN 30% Solution,Reagents And Chemicals,Solutions,Enco scientific services,BSA-30-0050,
GOLD BIOTECHNOLOGY INC AMPICILLIN (SODIUM) 25G,Reagents And Chemicals,Chemical Powder,Enco scientific services,A30125,
GOLD BIOTECHNOLOGY INC AMPICILLIN (SODIUM) 25G,Reagents And Chemicals,Chemical Powder,Enco scientific services,A30125,EQ5
GOLD BIOTECHNOLOGY INC AMPICILLIN (SODIUM) 25G,Reagents And Chemicals,Chemical Powder,Enco scientific services,A30125,
"Sodium Acetate DEPC treated 3M, pH 5.2, Sterile",Reagents And Chemicals,Solutions,Enco scientific services,41920036-3,
"Collagenase, Type 1",Reagents And Chemicals,Chemical Powder,Enco scientific services,LS004196,EQ15
"Collagenase, Type 2",Reagents And Chemicals,Chemical Powder,Enco scientific services,LS004176,EQ15
Cryostor CS10 ( Biolife solution ),Reagents And Chemicals,Solutions,Enco scientific services,210102,
EasySep Buffer (PBS CA - MG- containing 2% FBS+and 1 mM EDTA ),Reagents And Chemicals,Solutions,Enco scientific services,20144,EQ4
EasySep Buffer (PBS CA - MG- containing 2% FBS+and 1 mM EDTA ),Reagents And Chemicals,Solutions,Enco scientific services,20144,
EasySep Buffer (PBS CA - MG- containing 2% FBS+and 1 mM EDTA ),Reagents And Chemicals,Solutions,Enco scientific services,20144,EQ7
EasySep Buffer (PBS CA - MG- containing 2% FBS+and 1 mM EDTA ),Reagents And Chemicals,Solutions,Enco scientific services,20144,
Hydrocortisone Stock Solution,Reagents And Chemicals,Solutions,Enco scientific services,7925,EQ5
Hydrocortisone Stock Solution,Reagents And Chemicals,Solutions,Enco scientific services,7925,EQ5
Hydrocortisone Stock Solution,Reagents And Chemicals,Solutions,Enco scientific services,7925,
Hydrocortisone Stock Solution,Reagents And Chemicals,Solutions,Enco scientific services,7925,
Dulbecco's PBS + 2% FBS,Reagents And Chemicals,Solutions,Enco scientific services,7905,
Dulbecco's PBS + 2% FBS,Reagents And Chemicals,Solutions,Enco scientific services,7905,EQ7
Dulbecco's PBS + 2% FBS,Reagents And Chemicals,Solutions,Enco scientific services,7905,EQ4
נוזל ניטרול ללא פוספט,Reagents And Chemicals,Solutions,Yarden Biotech,ACIDGLC2,
נוזל ניטרול ללא פוספט,Reagents And Chemicals,Solutions,Yarden Biotech,ACIDGLC2,
נוזל הדחה ללא פוספט,Reagents And Chemicals,Solutions,Yarden Biotech,DETERLIQUID I2,
נוזל הדחה ללא פוספט,Reagents And Chemicals,Solutions,Yarden Biotech,DETERLIQUID I2,
"SDS solution 20%, DNase RNase and protease free-200ml",Reagents And Chemicals,Solutions,Holland Moran,BP1311-200,
"Glycerol, 99 %, extra pure-250ml",Reagents And Chemicals,Solutions,Holland Moran,158922500,
"Ethanol, 99.8%, for HPLC, absolute",Reagents And Chemicals,Solutions,Holland Moran,445740010,
"Methanol, 99.8%, for HPLC ",Reagents And Chemicals,Solutions,Holland Moran,268280010,
Tween 20,Reagents And Chemicals,Solutions,Holland Moran,BP337-100,
"ETHIDIUM BROMIDE (0.1%), 10ML",Reagents And Chemicals,Solutions,hy labs,BP451,L2 Bench
"ETHIDIUM BROMIDE (0.1%), 10ML",Reagents And Chemicals,Solutions,hy labs,BP451,L2 Bench
CellDrop AO/PI Viability Assay (for Denovix cell counter),Reagents And Chemicals,General Reagents and Chemicals,hy labs,IMCDAOPI-1.5,EQ10
CellDrop AO/PI Viability Assay (for Denovix cell counter),Reagents And Chemicals,General Reagents and Chemicals,hy labs,IMCDAOPI-1.5,EQ4
CellDrop AO/PI Viability Assay (for Denovix cell counter),Reagents And Chemicals,General Reagents and Chemicals,hy labs,IMCDAOPI-1.5,EQ10
CellDrop AO/PI Viability Assay (for Denovix cell counter),Reagents And Chemicals,General Reagents and Chemicals,hy labs,IMCDAOPI-1.5,EQ10
RDD BUFFER SET FOR RNEASY 96,Reagents And Chemicals,Solutions,Ilex biotech,201011132,
Sodium chloride RPE,Reagents And Chemicals,Chemical Powder,Romical,70-479687-30,L1G11
SODIUM HYPOCHLORITE 12% 25kg- SOLUTION,Reagents And Chemicals,Solutions,Romical,19-009990-83,
Ethanol 99.9% Tech 10 lit,Reagents And Chemicals,Solutions,Romical,19-009101-78,
SODIUM HYPOCHLORITE 6% 1LT,Reagents And Chemicals,Solutions,Romical,19-009987-72 1,
SODIUM HYPOCHLORITE 6% 1LT,Reagents And Chemicals,Solutions,Romical,19-009987-72 1,
SODIUM HYPOCHLORITE 6% 1LT,Reagents And Chemicals,Solutions,Romical,19-009987-72 1,L1C11
ACETIC ACID GLACIAL HPLC ISOCRATIC,Reagents And Chemicals,Solutions,Romical,70-401432-75,
SODIUM HYPOCHLORITE 6% 5LT,Reagents And Chemicals,Solutions,Romical,19-009987-80,
NITRIC ACID 70% GR,Reagents And Chemicals,Solutions,Romical,73-56204100-72,
NITRIC ACID 70% GR,Reagents And Chemicals,Solutions,Romical,73-56204100-72,
SODIUM HYDROXIDE PELLET EP,Reagents And Chemicals,Chemical Powder,Romical,73-75704400-30,L1G1
SODIUM HYDROXIDE PELLET EP,Reagents And Chemicals,Chemical Powder,Romical,73-75704400-30,L1C3
SODIUM HYPOCHLORITE 6% 1LT,Reagents And Chemicals,Solutions,Romical,19-009987-72,
SODIUM HYPOCHLORITE 6% 1LT,Reagents And Chemicals,Solutions,Romical,19-009987-72,
SODIUM HYPOCHLORITE 6% 1LT,Reagents And Chemicals,Solutions,Romical,19-009987-72,
SODIUM HYPOCHLORITE 6% 1LT,Reagents And Chemicals,Solutions,Romical,19-009987-72,
ETHANOL 99.9% SDA40 5LT,Reagents And Chemicals,Solutions,Romical,19-009101-80,
ETHANOL 99.9% SDA40 5LT,Reagents And Chemicals,Solutions,Romical,19-009101-80,
ETHANOL 99.9% SDA40 5LT,Reagents And Chemicals,Solutions,Romical,19-009101-80,
ETHANOL 99.9% SDA40 5LT,Reagents And Chemicals,Solutions,Romical,19-009101-80,
ETHANOL 99.9% SDA40 5LT,Reagents And Chemicals,Solutions,Romical,19-009101-80,L2 Bench
ETHANOL 99.9% SDA40 5LT,Reagents And Chemicals,Solutions,Romical,19-009101-80,
ETHANOL 99.9% SDA40 5LT,Reagents And Chemicals,Solutions,Romical,19-009101-80,
METHANOL U/HPLC GOLD ULTRAGRADI -FILTERED IN 0.1 MICRON,Reagents And Chemicals,General Reagents and Chemicals,Romical,70-412722-75,
METHANOL U/HPLC GOLD ULTRAGRADI -FILTERED IN 0.1 MICRON,Reagents And Chemicals,General Reagents and Chemicals,Romical,70-412722-75,
Human TGF-beta2 (HEK293 derived),Reagents And Chemicals,Chemical Powder,peprotech,100-35B-10,
Agarose (molecular biology grade),Reagents And Chemicals,Chemical Powder,lifegene,LAG0701,L1G1
Agarose (molecular biology grade),Reagents And Chemicals,Chemical Powder,lifegene,LAG0701,L1G9
TeSLA adaptor,Reagents And Chemicals,Solutions,Syntezza Bioscience,IDT 100nm HPLC,
"Sodium azide 10%, 100 ml",Reagents And Chemicals,Solutions,Tivanbiotech,SAS-100ML,
"PEIproTM transfection reagent for Large-scale virus production, 100ml",Reagents And Chemicals,General Reagents and Chemicals,TAMAR,115-100,
"PEIproTM transfection reagent for Large-scale virus production, 100ml",Reagents And Chemicals,General Reagents and Chemicals,TAMAR,115-100,
Chemical waste disposal,Reagents And Chemicals,General Reagents and Chemicals,Tabib,2066016.903,
Chemical waste disposal,Reagents And Chemicals,General Reagents and Chemicals,Tabib,2066016.903,
SYPRO™ Ruby Protein Blot Stain,Reagents And Chemicals,Solutions,Rhenium,S11791,
Agarose tablets-Topvision agarose tablets 200 tab. (0.5gx200),Reagents And Chemicals,Chemical Powder,Rhenium,R2801,L1 Bench
Agarose tablets-Topvision agarose tablets 200 tab. (0.5gx200),Reagents And Chemicals,Chemical Powder,Rhenium,R2801,
Agarose tablets-Topvision agarose tablets 200 tab. (0.5gx200),Reagents And Chemicals,Chemical Powder,Rhenium,R2801,
Agarose tablets-Topvision agarose tablets 200 tab. (0.5gx200),Reagents And Chemicals,Chemical Powder,Rhenium,R2801,L1 Bench
Glucose Solution/50 mL,Reagents And Chemicals,Solutions,Rhenium,A2494001,
Pluronic™ F-68 Non-ionic Surfactant (100X),Reagents And Chemicals,Solutions,Rhenium,24040032,
"Sodium bicarbonate, 99 %, extra pure",Reagents And Chemicals,Chemical Powder,Rhenium,123360010-1KG,
Glutamax 1 (100X) (Ce) \100ml,Reagents And Chemicals,Solutions,Rhenium,35050038,
AMPure XP (beads),Reagents And Chemicals,General Reagents and Chemicals,Rhenium,BC-A63881,
AMPure XP (beads),Reagents And Chemicals,General Reagents and Chemicals,Rhenium,BC-A63881,
AMPure XP (beads),Reagents And Chemicals,General Reagents and Chemicals,Rhenium,BC-A63881,EQ3
AMPure XP (beads),Reagents And Chemicals,General Reagents and Chemicals,Rhenium,BC-A63881,
AMPure XP (beads),Reagents And Chemicals,General Reagents and Chemicals,Rhenium,BC-A63881,
AMPure XP (beads),Reagents And Chemicals,General Reagents and Chemicals,Rhenium,BC-A63881,EQ15
Hbss- W/O Phenol Red (1X) (Ce) \500ml,Reagents And Chemicals,Solutions,Rhenium,14025050,
Hbss- W/O Phenol Red (1X) (Ce) \500ml,Reagents And Chemicals,Solutions,Rhenium,14025050,
LIFE TECHNOLOGIES LIPOFECTAMINE MESSENGERMAX,Reagents And Chemicals,General Reagents and Chemicals,Rhenium,LMRNA008,EQ15
LIFE TECHNOLOGIES LIPOFECTAMINE MESSENGERMAX,Reagents And Chemicals,General Reagents and Chemicals,Rhenium,LMRNA008,
LIFE TECHNOLOGIES LIPOFECTAMINE MESSENGERMAX,Reagents And Chemicals,General Reagents and Chemicals,Rhenium,LMRNA008,
LIFE TECHNOLOGIES LIPOFECTAMINE MESSENGERMAX,Reagents And Chemicals,General Reagents and Chemicals,Rhenium,LMRNA008,EQ15
LIFE TECHNOLOGIES LIPOFECTAMINE MESSENGERMAX,Reagents And Chemicals,General Reagents and Chemicals,Rhenium,LMRNA008,EQ15
Flask Tissue Culture 175 cm2 Flat 50/case,Reagents And Chemicals,General Reagents and Chemicals,Danyel Biotech,660160 Greiner Bio-One,
Flask Tissue Culture 175 cm2 Flat 50/case,Reagents And Chemicals,General Reagents and Chemicals,Danyel Biotech,660160 Greiner Bio-One,
Flask Tissue Culture 175 cm2 Flat 50/case,Reagents And Chemicals,General Reagents and Chemicals,Danyel Biotech,660160 Greiner Bio-One,
Flask Tissue Culture 175 cm2 Flat 50/case,Reagents And Chemicals,General Reagents and Chemicals,Danyel Biotech,660160 Greiner Bio-One,
Flask Tissue Culture 175 cm2 Flat 50/case,Reagents And Chemicals,General Reagents and Chemicals,Danyel Biotech,660160 Greiner Bio-One,
Flask Tissue Culture 175 cm2 Flat 50/case,Reagents And Chemicals,General Reagents and Chemicals,Danyel Biotech,660160 Greiner Bio-One,
"Ficoll-Paque-PLUS, 6* 500ml",Reagents And Chemicals,Solutions,Danyel Biotech,17-1440-03  Cytiva (GE),L1C1
"Ficoll-Paque-PLUS, 6* 500ml",Reagents And Chemicals,Solutions,Danyel Biotech,17-1440-03  Cytiva (GE),
Nuclei staining reagent for cell count (CVD),Reagents And Chemicals,Solutions,Danyel Biotech,1400014 ESCO,
Nuclei staining reagent for cell count (CVD),Reagents And Chemicals,Solutions,Danyel Biotech,1400014 ESCO,
Nuclei staining reagent for cell count (CVD),Reagents And Chemicals,Solutions,Danyel Biotech,1400014 ESCO,
"Ficoll-Paque-PLUS, 500ml",Reagents And Chemicals,Solutions,Danyel Biotech,17-1440-03SGE,
"Ficoll-Paque-PLUS, 500ml",Reagents And Chemicals,Solutions,Danyel Biotech,17-1440-03SGE,
"Ficoll-Paque-PLUS, 6* 500ml",Reagents And Chemicals,Solutions,Danyel Biotech,17-1440-03  GE- Healthcare,
Lenti-X™ Concentrator,Reagents And Chemicals,Solutions,Danyel Biotech,631232,
"LB BROTH, LENNOX",Reagents And Chemicals,Chemical Powder,bactlab diagnostics (BD),BD240230,
"LB BROTH, LENNOX",Reagents And Chemicals,Chemical Powder,bactlab diagnostics (BD),BD240230,
"LB BROTH, LENNOX",Reagents And Chemicals,Chemical Powder,bactlab diagnostics (BD),BD240230,
"LB BROTH, LENNOX",Reagents And Chemicals,Chemical Powder,bactlab diagnostics (BD),BD240230,
"LB BROTH, LENNOX",Reagents And Chemicals,Chemical Powder,bactlab diagnostics (BD),BD240230,
"LB BROTH, LENNOX",Reagents And Chemicals,Chemical Powder,bactlab diagnostics (BD),BD240230,
